x (arbitrary),Main_Ped_Sens, Pot
530,915,335
531,918,335
532,918,335
533,919,335
534,919,335
535,918,334
536,919,335
537,918,335
538,918,335
539,918,335
540,918,335
541,919,335
542,918,335
543,918,335
544,918,335
545,919,335
546,918,335
547,918,335
548,918,335
549,918,335
550,918,335
551,918,335
552,918,335
553,918,334
554,917,335
555,918,335
556,918,335
557,917,335
558,918,335
559,918,335
560,917,335
561,918,335
562,917,335
563,918,335
564,917,335
565,918,335
566,917,335
567,917,335
568,917,335
569,917,335
570,918,335
571,917,335
572,917,335
573,917,335
574,917,335
575,916,335
576,916,335
577,917,335
578,917,335
579,916,335
580,916,335
581,916,335
582,916,335
583,915,335
584,915,335
585,915,335
586,914,335
587,914,335
588,913,336
589,912,336
590,910,336
591,909,336
592,907,337
593,905,338
594,903,339
595,900,339
596,898,339
597,896,339
598,893,339
599,892,339
600,892,339
601,890,339
602,890,339
603,889,339
604,888,339
605,887,339
606,887,340
607,886,339
608,886,339
609,886,339
610,885,339
611,884,340
612,883,339
613,883,340
614,883,340
615,883,340
616,883,340
617,882,340
618,882,340
619,881,340
620,880,341
621,879,341
622,879,341
623,879,341
624,877,341
625,877,341
626,876,341
627,876,342
628,875,342
629,875,342
630,874,342
631,874,342
632,875,342
633,874,342
634,874,342
635,874,342
636,874,342
637,874,342
638,874,342
639,873,342
640,874,342
641,874,342
642,873,342
643,874,342
644,873,342
645,873,342
646,874,342
647,873,342
648,873,342
649,873,342
650,873,342
651,873,342
652,873,342
653,873,342
654,873,342
655,873,342
656,873,342
657,873,342
658,872,342
659,872,342
660,872,342
661,872,342
662,873,342
663,872,342
664,872,342
665,872,342
666,871,342
667,872,342
668,871,342
669,871,342
670,871,343
671,871,342
672,871,343
673,871,343
674,871,343
675,870,343
676,871,343
677,870,343
678,871,343
679,870,343
680,870,343
681,870,343
682,870,343
683,869,343
684,869,343
685,869,343
686,869,343
687,869,343
688,869,344
689,869,343
690,869,343
691,869,343
692,868,343
693,868,344
694,869,343
695,868,343
696,868,343
697,868,343
698,869,343
699,868,344
700,869,343
701,869,343
702,868,344
703,868,343
704,868,344
705,868,344
706,867,344
707,868,344
708,867,344
709,867,344
710,867,344
711,867,344
712,867,344
713,867,344
714,867,344
715,867,344
716,868,344
717,867,344
718,867,344
719,868,344
720,867,344
721,867,344
722,866,344
723,866,344
724,866,344
725,866,344
726,865,344
727,866,345
728,866,344
729,865,345
730,865,345
731,865,345
732,865,345
733,864,345
734,866,345
735,865,345
736,864,345
737,865,345
738,865,345
739,864,345
740,864,345
741,865,345
742,864,345
743,864,345
744,864,345
745,864,345
746,864,345
747,864,345
748,864,345
749,863,345
750,864,345
751,863,345
752,864,345
753,863,345
754,863,345
755,863,345
756,863,345
757,863,345
758,863,345
759,863,345
760,863,345
761,863,345
762,863,345
763,863,345
764,863,345
765,863,345
766,862,345
767,863,345
768,862,345
769,863,345
770,862,346
771,862,346
772,862,346
773,863,346
774,862,345
775,862,346
776,862,346
777,863,346
778,862,346
779,862,346
780,862,346
781,862,346
782,862,346
783,862,346
784,862,346
785,862,346
786,861,346
787,862,346
788,862,346
789,861,346
790,861,346
791,861,346
792,861,346
793,861,346
794,862,346
795,862,346
796,861,346
797,861,346
798,861,346
799,861,346
800,861,346
801,861,346
802,861,346
803,861,346
804,860,346
805,861,346
806,860,346
807,860,346
808,860,346
809,861,346
810,860,346
811,860,346
812,860,346
813,860,346
814,860,346
815,859,346
816,859,346
817,859,347
818,859,347
819,858,347
820,859,347
821,858,347
822,858,347
823,857,347
824,856,347
825,856,347
826,856,347
827,856,347
828,855,348
829,854,348
830,854,348
831,854,348
832,853,348
833,852,348
834,852,348
835,852,348
836,851,348
837,850,349
838,850,349
839,848,349
840,848,349
841,847,349
842,846,349
843,845,350
844,846,350
845,844,350
846,842,350
847,843,351
848,840,351
849,839,351
850,839,351
851,837,352
852,836,352
853,835,353
854,834,353
855,832,353
856,831,353
857,830,354
858,829,354
859,828,354
860,826,354
861,824,355
862,823,355
863,822,355
864,820,356
865,818,356
866,817,356
867,815,357
868,814,357
869,812,358
870,810,358
871,808,358
872,807,359
873,805,359
874,803,360
875,801,360
876,800,361
877,798,361
878,795,361
879,793,362
880,791,362
881,789,363
882,787,363
883,784,364
884,782,365
885,780,365
886,777,366
887,775,366
888,773,366
889,770,367
890,768,368
891,766,369
892,763,370
