0,831,0
0,830,0
0,829,0
1,828,0
1,827,0
2,828,0
2,827,0
3,826,0
3,825,0
5,826,0
7,826,0
9,826,0
11,825,0
13,826,0
15,825,0
17,825,0
19,825,0
21,825,0
23,825,0
25,825,0
27,825,0
29,826,0
31,825,0
33,825,0
35,825,0
37,825,0
39,825,0
41,825,0
44,825,0
46,825,0
48,825,0
50,825,0
52,825,0
54,826,0
56,825,0
58,825,0
60,825,0
62,826,0
64,826,0
66,825,0
68,826,0
69,825,0
71,825,0
73,825,0
75,825,0
77,825,0
79,825,0
81,825,0
83,825,0
86,825,0
88,825,0
90,826,0
92,825,0
94,825,0
96,825,0
98,825,0
100,825,0
103,825,0
105,826,0
107,826,0
109,825,0
111,825,0
113,825,0
115,825,0
118,826,0
120,825,0
122,825,0
124,825,0
126,825,0
129,825,0
132,826,0
134,826,0
136,825,0
138,826,0
140,825,0
142,825,0
145,825,0
147,825,0
149,825,0
151,825,0
153,826,0
155,825,0
157,825,0
160,826,0
162,826,0
164,825,0
166,825,0
168,826,0
171,825,0
174,826,0
176,825,0
178,825,0
180,827,0
182,825,0
184,825,0
187,825,0
189,825,0
191,826,0
193,826,0
195,826,0
197,825,0
199,826,0
202,826,-127
204,826,-127
207,826,-127
210,825,-127
212,826,-127
216,823,-127
219,821,-127
221,818,-127
224,812,-127
227,808,-127
229,803,-127
232,798,-127
235,792,-127
237,787,-127
240,781,-127
242,776,-127
245,770,-127
248,764,-127
250,758,-127
253,752,-127
257,747,-127
259,740,-127
262,734,-127
265,729,-127
267,723,-127
270,717,-127
273,711,-127
275,705,-127
278,699,-127
281,693,-127
283,687,-127
286,680,-127
289,674,-127
291,668,-127
294,662,-127
297,656,-127
300,650,-127
303,643,-127
306,638,-127
308,631,-127
311,625,-127
314,619,-127
316,612,-127
319,605,-127
322,599,-127
324,593,-127
327,587,-127
329,581,-127
332,575,-127
335,568,-127
337,562,-127
340,556,-127
344,549,-127
346,543,-127
349,536,-127
352,531,-127
354,524,-127
357,518,-127
360,511,-127
362,505,-127
365,498,-127
368,491,-127
370,485,-127
373,479,-127
376,472,-127
378,466,-127
381,460,-127
385,453,-127
387,447,-127
390,440,-127
393,434,-127
395,427,-127
398,421,-127
401,414,-127
403,407,129
406,401,129
408,394,129
411,389,129
413,385,129
416,383,129
418,384,129
421,384,129
423,388,129
427,392,129
429,397,129
432,402,129
434,407,129
437,412,129
439,418,129
442,423,129
444,428,129
447,434,129
449,439,129
452,443,129
454,450,129
457,455,129
459,462,129
461,467,129
464,472,129
466,477,129
470,483,129
472,489,129
475,495,129
477,500,129
480,506,129
482,511,129
485,515,129
487,521,129
490,526,129
492,531,129
495,536,129
497,541,129
500,547,129
502,551,129
505,556,129
507,561,129
510,566,129
513,572,129
516,577,129
518,582,129
521,587,129
523,592,129
526,598,129
528,603,129
531,608,129
533,613,129
536,619,129
538,624,129
541,629,129
543,633,129
546,638,129
548,643,129
551,649,129
553,654,129
557,659,129
559,664,129
562,669,129
564,674,129
567,679,129
569,684,129
572,688,129
574,694,129
577,699,129
579,703,129
582,708,129
584,713,129
587,718,129
589,723,129
591,728,129
594,733,129
596,738,129
600,743,129
602,747,129
605,752,-73
607,757,-73
610,761,-73
612,765,-73
615,769,-73
617,769,-73
620,769,-73
622,768,-73
625,767,-73
627,766,-73
630,764,-73
632,763,-73
635,760,-73
637,757,-73
641,755,-73
643,752,-73
646,748,-73
648,745,-73
651,742,-73
653,740,-73
656,736,-73
658,733,-73
661,729,-73
663,726,-73
666,723,-73
668,720,-73
671,717,-73
673,713,-73
676,711,-73
678,707,-73
681,703,-73
684,701,-73
687,698,-73
689,694,-73
692,691,-73
694,688,-73
697,685,-73
699,682,-73
702,678,-73
704,675,-73
707,672,-73
709,669,-73
712,665,-73
714,662,-73
717,659,-73
719,656,-73
721,652,-73
724,649,-73
727,646,-73
730,642,-73
732,638,-73
735,636,-73
737,633,-73
740,629,-73
742,626,-73
745,622,-73
747,619,-73
750,616,-73
752,612,-73
755,609,-73
757,606,-73
760,603,-73
762,599,-73
765,596,-73
768,593,-73
771,590,-73
773,586,-73
776,583,-73
778,579,-73
781,576,-73
783,572,-73
786,569,-73
788,565,-73
791,563,-73
793,559,-73
796,556,-73
798,553,-73
801,549,-73
803,546,-73
806,542,68
808,539,68
811,536,68
814,533,68
816,532,68
818,530,68
821,531,68
823,531,68
825,532,68
828,533,68
830,534,68
832,536,68
835,538,68
837,540,68
839,542,68
842,544,68
844,547,68
846,549,68
849,550,68
851,553,68
854,554,68
856,557,68
859,559,68
861,562,68
863,564,68
866,566,68
868,569,68
870,570,68
873,574,68
875,575,68
877,577,68
880,579,68
882,581,68
884,584,68
887,587,68
889,588,68
891,590,68
894,593,68
897,593,68
899,596,68
902,599,68
904,601,68
906,603,68
909,604,68
911,607,68
913,609,68
916,611,68
918,614,68
920,616,68
923,617,68
925,620,68
927,621,68
930,623,68
932,625,68
934,628,68
937,630,68
940,633,68
942,635,68
944,636,68
947,639,68
949,641,68
951,643,68
954,646,68
956,647,68
958,649,68
961,651,68
963,654,68
965,656,68
968,657,68
970,659,68
972,661,68
975,663,68
977,665,68
979,667,68
983,670,68
