0,424,60,1.851179673
0,423,60,
1,424,60,
2,423,60,
2,423,60,
3,423,60,
4,424,60,
5,424,60,
6,423,60,
8,423,60,
11,424,60,
13,424,60,
15,424,60,
18,425,60,
20,425,60,
22,425,60,
24,426,60,
27,426,60,
29,426,60,
31,426,60,
34,426,-60,
36,427,-60,
39,427,-60,
41,427,-60,
45,427,-60,
47,426,-60,
50,426,-60,
52,426,-60,
55,425,-60,
57,425,-60,
60,424,-60,
62,423,-60,
65,423,-60,
67,422,60,
69,422,60,
72,421,60,
74,421,60,
76,421,60,
79,421,60,
81,421,60,
83,421,60,
87,422,60,
89,422,60,
91,422,60,
94,422,60,
96,423,60,
98,423,60,
101,423,60,
103,423,60,
106,423,60,
108,424,60,
111,425,-60,
113,425,-60,
116,425,-60,
119,425,-60,
121,425,-60,
124,425,-60,
128,424,-60,
130,424,-60,
133,423,-60,
136,423,-60,
138,422,-60,
141,421,-60,
144,420,-60,
146,420,-60,
149,419,-60,
151,419,-60,
154,418,-60,
157,418,60,
159,417,60,
162,416,60,
164,416,60,
167,416,60,
169,416,60,
173,416,60,
175,417,60,
178,417,60,
180,417,60,
183,418,60,
185,418,-60,
188,419,-60,
191,419,-60,
193,419,-60,
196,418,-60,
198,418,-60,
201,418,-60,
204,416,-60,
206,416,-60,
209,415,-60,
212,415,-60,
215,414,-60,
218,413,-60,
221,413,-60,
223,412,60,
226,412,60,
228,412,60,
231,411,60,
233,412,60,
236,412,60,
238,412,60,
241,412,60,
243,412,60,
246,413,60,
248,413,60,
251,413,60,
253,413,60,
257,414,60,
259,414,60,
262,415,60,
264,415,60,
267,415,60,
269,415,-60,
272,416,-60,
275,416,-60,
277,416,-60,
280,416,-60,
282,415,-60,
285,415,-60,
288,415,-60,
290,414,-60,
293,413,-60,
296,413,-60,
299,412,-60,
302,412,-60,
305,411,-60,
307,411,-60,
310,410,-60,
313,409,-60,
315,409,60,
318,408,60,
320,408,60,
323,408,60,
325,408,60,
328,408,60,
330,408,60,
333,409,60,
335,409,60,
338,408,60,
340,409,-60,
344,410,-60,
347,410,-60,
349,409,-60,
352,409,-60,
355,409,-60,
357,409,-60,
360,408,-60,
363,408,-60,
365,407,-60,
368,406,-60,
370,406,-60,
