0,405,160.00
0,405,160.00
1,405,160.00
2,405,160.00
3,405,160.00
3,405,160.00
4,405,160.00
5,405,160.00
8,406,160.00
10,406,160.00
12,407,160.00
15,408,160.00
17,409,160.00
20,409,160.00
22,411,160.00
25,412,160.00
27,413,160.00
30,414,160.00
32,415,160.00
35,417,160.00
37,419,160.00
40,419,160.00
43,421,160.00
46,422,160.00
48,424,160.00
51,426,160.00
53,426,160.00
56,428,160.00
58,429,160.00
61,430,160.00
63,432,160.00
66,433,160.00
68,435,160.00
71,436,160.00
73,438,160.00
76,439,160.00
78,440,160.00
81,441,160.00
83,443,160.00
87,444,160.00
89,445,160.00
92,446,160.00
94,447,160.00
97,448,160.00
99,450,160.00
102,451,160.00
104,453,-160.00
107,454,-160.00
110,455,-160.00
113,455,-160.00
115,455,-160.00
118,454,-160.00
121,453,-160.00
124,452,-160.00
128,450,-160.00
131,449,-160.00
133,447,-160.00
136,446,-160.00
139,444,-160.00
142,443,-160.00
145,441,-160.00
148,439,-160.00
150,438,-160.00
153,436,-160.00
156,434,-160.00
159,432,-160.00
162,430,-160.00
164,429,-160.00
167,427,-160.00
171,425,-160.00
174,423,-160.00
177,421,-160.00
180,420,-160.00
182,418,-160.00
185,416,-160.00
188,414,-160.00
191,412,-160.00
194,411,-160.00
196,409,-160.00
199,407,-160.00
202,405,-160.00
205,404,-160.00
208,401,-160.00
211,400,-160.00
214,398,-160.00
217,397,-160.00
220,395,-160.00
223,393,160.00
226,392,160.00
228,390,160.00
231,390,160.00
234,390,160.00
236,390,160.00
239,391,160.00
241,392,160.00
244,393,160.00
247,394,160.00
249,396,160.00
252,396,160.00
256,397,160.00
258,399,160.00
261,400,160.00
264,401,160.00
266,403,160.00
269,405,160.00
272,406,160.00
274,408,160.00
277,409,160.00
280,410,160.00
282,412,160.00
285,413,160.00
288,414,160.00
290,415,160.00
293,417,160.00
296,419,160.00
299,420,160.00
302,422,160.00
305,424,160.00
307,425,160.00
310,426,160.00
313,428,160.00
315,429,160.00
318,430,160.00
321,432,160.00
323,433,160.00
326,435,160.00
328,436,160.00
331,438,160.00
334,440,160.00
336,441,160.00
339,441,160.00
343,443,160.00
345,445,160.00
348,446,-160.00
351,447,-160.00
354,448,-160.00
357,448,-160.00
359,448,-160.00
362,447,-160.00
365,446,-160.00
368,444,-160.00
371,444,-160.00
373,442,-160.00
376,440,-160.00
379,439,-160.00
382,438,-160.00
386,436,-160.00
389,434,-160.00
391,432,-160.00
394,430,-160.00
397,429,-160.00
400,427,-160.00
403,426,-160.00
406,424,-160.00
408,421,-160.00
411,419,-160.00
414,418,-160.00
417,416,-160.00
420,414,-160.00
422,412,-160.00
425,411,-160.00
429,409,-160.00
432,407,-160.00
435,405,-160.00
438,404,-160.00
440,401,-160.00
443,400,-160.00
446,398,-160.00
449,397,-160.00
452,395,-160.00
455,393,160.00
457,392,160.00
460,390,160.00
462,390,160.00
465,390,160.00
468,390,160.00
471,391,160.00
474,392,160.00
477,393,160.00
479,394,160.00
482,395,160.00
485,397,160.00
487,397,160.00
490,399,160.00
493,400,160.00
495,401,160.00
498,403,160.00
501,404,160.00
503,406,160.00
506,408,160.00
509,409,160.00
512,411,160.00
515,412,160.00
518,413,160.00
520,414,160.00
523,415,160.00
526,418,160.00
528,419,160.00
531,420,160.00
534,422,160.00
536,423,160.00
539,425,160.00
541,426,160.00
544,428,160.00
547,429,160.00
549,430,160.00
552,432,160.00
556,433,160.00
558,435,160.00
561,436,160.00
564,438,160.00
566,439,160.00
569,441,160.00
572,441,160.00
574,443,-160.00
577,444,-160.00
580,445,-160.00
583,445,-160.00
586,445,-160.00
588,444,-160.00
591,444,-160.00
594,442,-160.00
598,441,-160.00
601,439,-160.00
604,438,-160.00
606,437,-160.00
609,435,-160.00
612,433,-160.00
615,431,-160.00
618,429,-160.00
621,428,-160.00
623,426,-160.00
626,424,-160.00
629,422,-160.00
632,420,-160.00
635,419,-160.00
637,417,-160.00
